,Unnamed: 0,title,price,link_item,index,discount,sales,brand,category,revenue
24,24,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,299000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts500mx-hang-chinh-hang-p23865953.html?spid=50475052,11.0,,69.0,Panasonic,dienthoaiban,20631000.0
25,25,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng - Trắng,588000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p204237269.html?spid=204267315,12.0,,245.0,Panasonic,dienthoaiban,144060000.0
26,26,Điện Thoại Bàn Panasonic KXTGC313CX - Hàng Chính Hãng,2150000,https://tiki.vn/dien-thoai-ban-panasonic-kxtgc313cx-hang-chinh-hang-p4064449.html?spid=43205331,13.0,,2.0,Panasonic,dienthoaiban,4300000.0
27,27,Điện thoại bàn không dây Panasonic KX-TGB112 - Hàng Chính Hãng,1250000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgb112-hang-chinh-hang-p11251743.html?spid=42326767,14.0,,19.0,Panasonic,dienthoaiban,23750000.0
28,28,Điện thoại bàn không dây Panasonic KX-TGC312 - Hàng chính hãng,1360000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgc312-hang-chinh-hang-p11251735.html?spid=49302209,15.0,,6.0,Panasonic,dienthoaiban,8160000.0
29,29,Điện thoại bàn Panasonic KX-TGB112 hàng chính hãng,1250000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgb112-hang-chinh-hang-p164318507.html?spid=164318508,16.0,,16.0,Panasonic,dienthoaiban,20000000.0
30,30,Điện Thoại Bàn Panasonic KX-TS500MX - Panasonic KX-TS500MX Integrated Telephone System - Hàng chính hãng,299000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts500mx-panasonic-kx-ts500mx-integrated-telephone-system-hang-chinh-hang-p31820638.html?spid=49302144,17.0,,95.0,Panasonic,dienthoaiban,28405000.0
31,31,Điện thoại Panasonic KX-TSC11MX -Hàng chính hãng,599000,https://tiki.vn/dien-thoai-panasonic-kx-tsc11mx-hang-chinh-hang-p117929342.html?spid=117929343,18.0,,42.0,Panasonic,dienthoaiban,25158000.0
32,32,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,800000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgb110-hang-chinh-hang-p11251951.html?spid=51326642,19.0,,13.0,Panasonic,dienthoaiban,10400000.0
33,33,Điện thoại bàn không dây Panasonic KX-TGF310 - Hàng Chính Hãng,2265000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgf310-hang-chinh-hang-p21317020.html?spid=49302166,20.0,,15.0,Panasonic,dienthoaiban,33975000.0
34,34,Điện thoại bàn Panasonic KX-TGC312 hàng chính hãng,1590000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgc312-hang-chinh-hang-p181928189.html?spid=181928190,21.0,,28.0,Panasonic,dienthoaiban,44520000.0
35,35,Điện thoại bàn Panasonic KX-TS880 hàng chính hãng,1050000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts880-hang-chinh-hang-p181977398.html?spid=181977400,22.0,,39.0,Panasonic,dienthoaiban,40950000.0
