,title,price,link_item,index,discount,sales,brand,category,revenue
36,Điện thoại bàn Panasonic KX-TGC310 hàng chính hãng,1050000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgc310-hang-chinh-hang-p181928208.html?spid=181928209,23,,43.0,Panasonic,dienthoaiban,45150000.0
37,Tay con điện thoại bàn Panasonic TGCA30- Hàng chính hãng,750000,https://tiki.vn/tay-con-die-n-thoa-i-ban-panasonic-tg-p252884932.html?spid=252884933,24,,1.0,Panasonic,dienthoaiban,750000.0
38,Điện thoại Panasonic KX-TGF310CX -Hàng chính hãng,2299000,https://tiki.vn/dien-thoai-panasonic-kx-tgf310cx-hang-chinh-hang-p118139108.html?spid=118139109,25,,29.0,Panasonic,dienthoaiban,66671000.0
39,Điện Thoại Bàn Panasonic KXTS 520 - Hàng Chính Hãng,469000,https://tiki.vn/dien-thoai-ban-panasonic-kxts-520-hang-chinh-hang-p4059671.html?spid=36671794,26,,79.0,Panasonic,dienthoaiban,37051000.0
40,Điện thoại để bàn Panasonic KX TSC11MX hàng chính hãng,650000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-tsc11mx-hang-chinh-hang-p16523479.html?spid=49302185,27,,90.0,Panasonic,dienthoaiban,58500000.0
41,Điện thoại bàn không dây Panasonic KX-TGD312 - Hàng Chính Hãng,1920000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgd312-hang-chinh-hang-p11251711.html?spid=53559453,28,,9.0,Panasonic,dienthoaiban,17280000.0
42,Điện Thoại Bàn Panasonic KXTGF310CX - Hàng Chính Hãng,2250000,https://tiki.vn/dien-thoai-ban-panasonic-kxtgf310cx-hang-chinh-hang-p4065251.html?spid=44164121,29,,3.0,Panasonic,dienthoaiban,6750000.0
43,Điện thoại bàn không dây Panasonic KX-TGD310 - Hàng Chính Hãng,1280000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgd310-hang-chinh-hang-p11251770.html?spid=53559078,30,,18.0,Panasonic,dienthoaiban,23040000.0
44,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,620000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p125171841.html?spid=125171849,31,,26.0,Panasonic,dienthoaiban,16120000.0
45,Điện Thoại Bàn Panasonic KX-TSC11,639000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p4048581.html?spid=26683926,32,,63.0,Panasonic,dienthoaiban,40257000.0
46,Điện thoại Panasonic KX-TS520MX - Trắng - Hàng chính hãng,450000,https://tiki.vn/dien-thoai-panasonic-kx-ts520mx-trang-hang-chinh-hang-p113475741.html?spid=113475742,33,,8.0,Panasonic,dienthoaiban,3600000.0
