,title,price,link_item,index,discount,sales
28,Mặt nạ ngủ môi khóa ẩm và mềm mịn hương dâu Care:nel Lip Sleeping Mask Berry 5g,69.800₫,https://tiki.vn/mat-na-ngu-moi-khoa-am-va-mem-min-huong-dau-care-nel-lip-sleeping-mask-berry-5ml-p11306149.html?spid=11306150,29,,Đã bán 1.3k
29,Son Kem Nhung Lì Mượt Lâu Trôi V9Queen Siêu Mịn Không Khô Môi Màu Đỏ Hồng V9 Hera 5ml,98.000₫,https://tiki.vn/son-kem-nhung-li-muot-lau-troi-v9queen-sieu-min-khong-kho-moi-mau-do-hong-v9-hera-5ml-p160621013.html?spid=160621014,30,,Đã bán 91
30,,,https://tiki.vn/but-ve-mau-mat-k-palette-lasting-3d-shadow-liner-p76117268.html?spid=76117272,31,,
31,Má hồng BAKED BLUSH,175.000₫,https://tiki.vn/ma-hong-baked-blush-city-color-p6305803.html?spid=6305811,32,,Đã bán 3
32,Kem che khuyết điểm 3 ngăn Mira Combi Foundaiton Hàn Quốc 30g tặng kèm móc khoá,199.000₫,https://tiki.vn/kem-che-khuyet-diem-3-ngan-mira-combi-foundaiton-han-quoc-30g-tang-kem-moc-khoa-p21160424.html?spid=21160426,33,,Đã bán 23
33,Phấn Phủ Dạng Nén Annayake Transparent Compact Powder S2047 (10g),1.776.000₫,https://tiki.vn/phan-phu-dang-nen-annayake-transparent-compact-powder-s2047-10g-p1042660.html?spid=1046446,34,,Đã bán 3
34,Phấn nước FOCALLURE che khuyết điểm 10g,151.000₫,https://tiki.vn/phan-nuoc-focallure-che-khuyet-diem-10g-p271534827.html?spid=271534828,35,,
35,,,https://tiki.vn/mieng-dan-kich-mi-trong-suot-giup-kich-mi-tu-nhien-miraso-p178292471.html?spid=270903439,36,,
36,Mi Giả Gân Siêu Tự Nhiên Bee Eyelashes long lanh cuốn hút,65.000₫,https://tiki.vn/mi-gia-gan-sieu-tu-nhien-bee-eyelashes-long-lanh-cuon-hut-p194200439.html?spid=194200443,37,,Đã bán 1
37,PHẤN MẮT HỮU CƠ 3 TRONG 1 - naturaglacé EYE COLOR PALETTE,1.099.000₫,https://tiki.vn/phan-mat-3-trong-1-naturaglace-eye-color-palette-p26031329.html?spid=26031333,38,,Đã bán 10
38,"Phấn trang điểm khoáng chất vitamin E, kiểm soát dầu MiraCulous Hàn Quốc 22g tặng kèm móc khoá",375.000₫,https://tiki.vn/phan-trang-diem-khoang-chat-vitamin-e-kiem-soat-dau-miraculous-han-quoc-22g-tang-kem-moc-khoa-p21128203.html?spid=21128207,39,,Đã bán 19
39,"Lông mi giả, mi Kun 5D 07",40.000₫,https://tiki.vn/mi-kun-5d-07-p134293136.html?spid=134293137,40,,Đã bán 8
0,Cọ Trang Điểm Cao Cấp Có Hộp - Tán Phấn Phủ Đánh Má Hồng - Tán Kem Nền Tạo Khối - Powder and Foundatio,65.000₫,https://tiki.vn/co-trang-diem-cao-cap-co-hop-tan-phan-phu-danh-ma-hong-tan-kem-nen-tao-khoi-powder-and-foundatio-p207317126.html?spid=207317128,1,-23%,Đã bán 4
1,Kem che khuyết điểm hữu cơ - naturaglacé CORRECTING STICK,1.099.000₫,https://tiki.vn/kem-che-khuyet-diem-naturaglace-correcting-stick-p26017418.html?spid=26017422,2,,Đã bán 10
2,Son kem lì lâu trôi HAPY MINIGARDEN 3.5ml phiên bản 2023 cải tiến siêu lì giữ màu 24h kháng nước ăn uống không lem không trôi không dính khẩu trang thành phần an toàn không chứa chì,269.000₫,https://tiki.vn/tang-1-son-son-kem-li-lau-troi-hapy-minigarden-3-5ml-2023-sieu-li-khang-nuoc-khong-lem-khong-troi-p217285815.html?spid=217285819,3,-14%,Đã bán 2
3,Che khuyết điểm 2 đầu Gogo Tales Moisturizing Traceless Concealer,65.000₫,https://tiki.vn/che-khuyet-diem-2-dau-gogo-tales-moisturizing-traceless-concealer-p248781443.html?spid=248781449,4,,
