,title,price,link_item,index,discount,sales
32,Combo Son tẩy da chết môi Cà phê Đắk Lắk Cocoon 5g + Son dưỡng môi dầu dừa Bến Tre Cocoon 5g,85.600₫,https://tiki.vn/combo-son-tay-da-chet-moi-ca-phe-dak-lak-cocoon-5g-son-duong-moi-dau-dua-ben-tre-cocoon-5g-p242452572.html?spid=242452573,33,,Đã bán 3
33,Combo 2 Chai Sữa Tắm Dưỡng Ẩm Hương Nước Hoa Kháng Khuẩn Cho Nam ADIVA Sugar Daaddy (400ml/Chai),443.000₫,https://tiki.vn/combo-2-chai-sua-tam-duong-am-huong-nuoc-hoa-khang-khuan-adiva-sugar-daaddy-400ml-chai-p197147123.html?spid=197147124,34,,
34,"Kem dưỡng ẩm, chống nẻ Esunvy - Tăng cường độ ẩm, chống nứt nẻ, làm mềm da - Tuýp 50g",88.000₫,https://tiki.vn/kem-duong-am-chong-ne-esunvy-tuyp-50g-p48608045.html?spid=48608046,35,,Đã bán 32
35,,,https://tiki.vn/sua-rua-mat-va-tam-toan-than-cho-da-nhay-cam-sebamed-liquid-face-body-wash-sss01d-50ml-p552028.html?spid=58491799,36,,
36,"Lăn Khử Mùi, Dưỡng Trắng, Giảm Thâm Angel's Liquid Glutathione Fresh-Up Whitening Magic Deo Stick 60ml",365.000₫,https://tiki.vn/lan-khu-mui-duong-trang-giam-tham-angel-s-liquid-glutathione-fresh-up-whitening-magic-deo-stick-60ml-p58256018.html?spid=95760863,37,,Đã bán 53
37,"[CHÍNH HÃNG W.SKIN LABORATORY] Kem chống nắng 3 tác động TRIPLE CARE SUN CREAM SPF50+/ PA++++ (60ml) mỏng nhẹ, không gây bết dính, không để lại vệt trắng",432.000₫,https://tiki.vn/kem-chong-nang-3-tac-dong-triple-care-sun-cream-spf50-pa-60ml-p203969825.html?spid=203969826,38,,Đã bán 1
38,Combo 2 hộp Sáp nẻ Vaseline Đa năng học viện quân y ( 50g),73.000₫,https://tiki.vn/combo-2-hop-sap-ne-vaseline-da-nang-hoc-vien-quan-y-50g-p7632903.html?spid=75704467,39,,Đã bán 9
39,"Xà bông Sinh Dược Bồ Kết, xà bông cục 100gr, mẫu bao bì vẽ mộc, mùi hương nhu quyện bồ kết nồng nàn, làm sạch da, có thể gội đầu xài kèm với dầu dưỡng chăm sóc tóc hiệu quả",34.000₫,https://tiki.vn/xa-bong-sinh-duoc-bo-ket-xa-bong-cuc-100gr-mau-bao-bi-ve-moc-mui-huong-nhu-quyen-bo-ket-nong-nan-lam-sach-da-co-the-goi-dau-xai-kem-voi-dau-duong-cham-soc-toc-hieu-qua-p75390899.html?spid=83162330,40,,Đã bán 39
0,"Xịt keo Ong Úc Vitatree Super Propolis Spray Complex tăng đề kháng , kháng khuẩn, Virut, nấm, giảm viêm họng, ho, nhiệt miệng - QuaTangMe Extaste",105.000₫,https://tiki.vn/xit-hong-keo-ong-uc-vitatree-super-propolis-spray-complex-with-honey-giup-bo-sung-khang-khuan-tu-nhie-gia-m-dau-ra-t-viem-ho-ng-ho-nhie-t-lo-mie-ng-p270549660.html?spid=114679802,1,-52%,Đã bán 114
1,"Sữa tắm gội thảo dược Ích Nhi cho bé chai 200ml phòng cảm lạnh, ngừa rôm sẩy, mẩn ngứa, dưỡng da mềm mịn",79.000₫,https://tiki.vn/sua-tam-goi-thao-duoc-ich-nhi-cho-be-chai-200ml-phong-cam-lanh-ngua-rom-say-man-ngua-duong-da-mem-min-p179442118.html?spid=179442119,2,-14%,Đã bán 39
